ACTIVE U.S. SKI AREAS - 2024-25,,,,,,,,,,,
LOCATION,MOUNTAIN,"LIFT-
SERVED
VERTICAL
DROP 
(Feet)","LIFT-
SERVED
SKIABLE
ACRES","AVERAGE
ANNUAL
SNOWFALL 
(inches)",OWNER,"PASS 
AFFILIATIONS ","ANTICIPATE
OPERATING 
24/25?","OPERATED
23/24?","SURFACE
LIFTS
ONLY?","OPEN TO
PUBLIC?","SKIED 
(Admin 
use
only)"
U.S. - Alabama,Cloudmont,150,9,1,Independent,,Yes,No,Yes,Yes,No
U.S. - Alaska,Alyeska,"2,500","1,610",650,Independent,Ikon,Yes,Yes,No,Yes,No
,Arctic Valley,"1,400",320,250,Independent,Indy,Yes,Yes,No,Yes,No
,Birch Hill,540,,N/A,Independent,,Yes,Yes,No,Yes,No
,Eaglecrest,"1,620",640,350,Independent,"Indy, Powder Alliance, Freedom",Yes,Yes,No,Yes,No
,Hillberg,263,,N/A,Independent,,Yes,Yes,No,Yes,No
,Hilltop,294,30,76,Independent,,Yes,Yes,No,Yes,No
,Homer Rope Tow,260,20,N/A,Independent,,Yes,Yes,Yes,No,No
,Iceman Falls,300,,N/A,Independent,,Yes,Yes,No,No,No
,Moose Mountain,"1,300",750,100,Independent,Indy,Yes,Yes,Yes,Yes,No
,Mount Eyak,800,100,350,Independent,Indy,Yes,Yes,No,Yes,No
,Skeetawk,300,30,N/A,Independent,,Yes,Yes,No,Yes,No
,Ski Land,"1,027",100,300,Independent,,Yes,Yes,No,Yes,No
U.S. - Arizona,Arizona Snowbowl,"2,800",777,260,Mountain Capital Partners,Power,Yes,Yes,No,Yes,No
,Sunrise Park,"1,800","1,200",250,Independent,Indy,Yes,Yes,No,Yes,No
U.S. - California,Bear Mountain (Big Bear),"1,665",198,100,Alterra ,Ikon,Yes,Yes,No,Yes,No
,Bear Valley,"1,900","1,680",359,California Mountain Resort Company,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
,Boreal,500,380,400,Powdr,,Yes,Yes,No,Yes,No
,China Peak,"1,679","1,200",300,California Mountain Resort Company,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
,Coppervale,740,80,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Dodge Ridge,"1,600",862,300,California Mountain Resort Company,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
,Donner Ski Ranch,750,460,396,Independent,,Yes,Yes,No,Yes,No
,Granlibakken,200,25,170,Independent,,Yes,Yes,Yes,Yes,No
,Heavenly,"3,500","4,800",360,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,June Mountain,"2,590","1,500",250,Alterra ,Ikon,Yes,Yes,No,Yes,No
,Kingvale,150,50,25,Independent,,Yes,Yes,Yes,Yes,No
,Kirkwood,"2,000","2,300",354,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Mammoth,"3,100","3,500",400,Alterra ,Ikon,Yes,Yes,No,Yes,Yes
,Mountain  High: West,"1,000",145,117,California Mountain Resort Company,"Indy, Powder Alliance",Yes,Yes,No,Yes,Yes
,Mountain High: East,"1,600",145,117,California Mountain Resort Company,"Indy, Powder Alliance",Yes,Yes,No,Yes,Yes
,Mt. Baldy,"2,100",800,170,Independent,,Yes,Yes,No,Yes,Yes
,Mt. Shasta,"2,036",635,157,Independent,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
,Northstar,"2,280","3,170",350,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Palisades Tahoe,"2,850","6,000",400,Alterra ,Ikon,Yes,Yes,No,Yes,Yes
,Sierra-at-Tahoe,"2,212","2,000",480,Independent,"Ikon, Powder Alliance, Left Epic",Yes,Yes,No,Yes,No
,Snow Summit (Big Bear),"1,200",240,100,Alterra ,Ikon,Yes,Yes,No,Yes,No
,Snow Valley,"1,041",240,160,Alterra ,Ikon,Yes,Yes,No,Yes,Yes
,Soda Springs,550,200,400,Powdr,,Yes,Yes,No,Yes,No
,Sugar Bowl,"1,500","1,650",500,Independent,Mountain Collective,Yes,Yes,No,Yes,No
,Tahoe Donner,600,120,400,Independent,,Yes,Yes,No,Yes,No
U.S. - Colorado,Arapahoe Basin,"1,695","1,428",350,Alterra ,"Ikon, Left Epic",Yes,Yes,No,Yes,Summer
,Aspen Highlands,"3,635","1,010",300,Aspen Skiing Company,"Ikon, Mountain Collective",Yes,Yes,No,Yes,Yes
,Aspen Mountain,"3,267",826,300,Aspen Skiing Company,"Ikon, Mountain Collective",Yes,Yes,No,Yes,Yes
,Beaver Creek,"3,340","2,082",325,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Breckenridge,"3,398","2,908",355,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Buttermilk,"2,030",435,200,Aspen Skiing Company,"Ikon, Mountain Collective",Yes,Yes,No,Yes,Yes
,Chapman,N/A,7,71,Independent,,Yes,Yes,Yes,Yes,No
,Copper Mountain,"2,738","2,538",305,Powdr,Ikon,Yes,Yes,No,Yes,Yes
,Cranor Hill,305,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Crested Butte,"2,775","1,547",234,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Echo Mountain,600,60,150,Independent,Indy,Yes,Yes,No,Yes,No
,Eldora,"1,400",680,300,Powdr,Ikon,Yes,Yes,No,Yes,Yes
,Frisco,N/A,,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Granby Ranch,"1,000",406,120,Independent,Indy,Yes,Yes,No,Yes,No
,Hoedown Hill,130,12,24,Independent,Indy,Yes,Yes,Yes,Yes,No
,Howelsen Hill,440,50,170,Independent,Indy,Yes,Yes,No,Yes,Summer
,Kendall Mountain,240,16,200,Independent,,Yes,Yes,No,Yes,No
,Keystone,"3,128","3,149",235,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
,Lake City,250,14,N/A,Independent,,Yes,Yes,Yes,Yes,No
,Lee's,75,2,134,Independent,,Yes,Yes,Yes,Yes,No
,Loveland,"2,210","1,800",422,Independent,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
,Loveland Valley,819,,N/A,Independent,"Indy, Powder Alliance",Yes,Yes,No,Yes,No
,Monarch,"1,162","1,177",350,Independent,Power,Yes,Yes,No,Yes,No
,Powderhorn,"1,650","1,600",250,Pacific Group Resorts,Indy,Yes,Yes,No,Yes,No
,Purgatory,"2,029","1,635",260,Mountain Capital Partners,Power,Yes,Yes,No,Yes,No
,Silverton (unguided),"1,900","1,819",400,Independent,,Yes,Yes,No,Yes,No
,Ski Cooper,"1,200",480,260,Independent,"Powder Alliance, Freedom",Yes,Yes,No,Yes,No
,Snowmass,"4,406","3,342",300,Aspen Skiing Company,"Ikon, Mountain Collective",Yes,Yes,No,Yes,Yes
,Steamboat,"3,668","3,741",313,Alterra ,Ikon,Yes,Yes,No,Yes,Yes
,Sunlight,"2,010",730,250,Independent,"Indy, Freedom",Yes,Yes,No,Yes,No
,Telluride,"3,790","2,000",280,Independent,Epic,Yes,Yes,No,Yes,No
,Vail Mountain    ,"3,450","5,317",354,Vail Resorts,Epic,Yes,Yes,No,Yes,Yes
