"EPIC PASS
PARTNER HISTORY",,,On Epic,,,,,No access on this tier,,,,,Access changed,,,,,Left Epic,,,,,,,,,,,,,,,,,
,,,*2013-14 Park City access was for legacy Canyons resort only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"2008- 
09","2009-
10","2010-
11",2011-12,,2012-13,,2013-14,,2014-15,,2015-16,,2016-17,,2017-18,,2018-19,,2019-20,,2020-21,,2021-22,,2022-23,,2023-24,,2024-25,,2025-26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ski areas by season:,,,5,6,8,7,7,8,8,11,11,11,11,12,11,23,13,34,23,43,28,61,47,61,47,60,47,62,48,64,47,65,48,65,48
LOCATION,MOUNTAIN,,Epic,Epic,Epic,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local,Epic,Epic Local
Australia,Falls Creek,,,,,,,,,,,,,,,,,,,U,,U,,U,,U,,U,,U,,U,,U,
,Hotham,,,,,,,,,,,,,,,,,,,U,,U,,U,,U,,U,,U,,U,,U,
,Perisher,,,,,,,,,,,,,U,,U,,U,,U,,U,,U,,U,,U,,U,,U,,U,
Canada - Alberta,Nakiska,,,,,,,,,,,,,,,,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,
Canada - British Columbia,Fernie,,,,,,,,,,,,,,,,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,
,Kicking Horse,,,,,,,,,,,,,,,,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,
,Kimberley,,,,,,,,,,,,,,,,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,
,Whistler,,,,,,,,,,,,,,,5B,5B,U,10BS,U,10BS,U,10BS,U,10BS,U,10BS,U,10BS,U,10BS,U,10BS,U,10BS
Canada - Quebec,Mont-Sainte Anne,,,,,,,,,,,,,,,,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,
,Stoneham,,,,,,,,,,,,,,,,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,,7S,
Europe - Austria,Ski Arlberg,,,,,,,,,,,,,,,3CL,,3CL,,3CL,,3CL,,3CL,,3CL,,3CL,,3CL,,3CL,,3CL,
Europe - France,La Plagne,,,,,,,,,,,,,,,6S,,,,,,,,,,,,,,,,,,,
