"U.S. AMERICAN 
LIFT-SERVED 
SKIING 
MASTERCHART","THE PASS TRACKER 5001 IS CREATED BY THE STORM SKIING JOURNAL. IT IS A CONSTANT WORK IN PROGRESS AND WILL NOT BE UP-TO-DATE EVERY SECOND. SUBSCRIBE TO THE STORM SKIING
NEWSLETTER HERE FOR PASS UPDATES AND ANALYSIS. FOLLOW ON TWITTER/X FOR MORE IMMEDIATE UPDATES. DM CORRECTIONS TO THE TWITTER ACCOUNT OR EMAIL SKIING@SUBSTACK.COM. 
ALL PRICES ARE FOR ADULT NO-BLACKOUT PASSES. CLICK THROUGH TO THE SKI AREA'S WEBSITE (LEFT-HAND COLUMN) FOR FULL PASS LISTINGS. ALL INFORMATION SUBJECT TO CHANGE WITHOUT
 NOTICE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNTAIN,LOCATION,"LIFT-
SERVED
VERTICAL
DROP 
(Feet)","BASE 
ELEVATION
(Feet; lift-
served)","SUMMIT
ELEVATION
(Feet; lift-
served)","LIFT-
SERVED
SKIABLE
ACRES","AVERAGE
ANNUAL
SNOWFALL 
(inches)","SNOW-
MAKING?","SNOW-
MAKING
NOTES",OWNER,"YEAR 
ACQUIRED","SKIABLE
ACREAGE
IN 1994","FORMER
NAMES 
[SKI AREAS
ABSORBED]","TRAIL-
MAPS",LIFTS,"PASS 
AFFILIATIONS ","PASS ACCESS: U=unlimited acces | 2/3/5/7/10=2/3/5/7/10 days | 
B=blackouts apply | M=midweek access only | Sa=no Saturday 
access | C=must use days consecutively | Lo=lodging requirement 
| 24=valid summer 24 | 25=valid summer 25 | S=shared dates | 
A=Access starting 4/1 only | NE=Northeast | L=Local Pass | 
V=Value Pass","OPEN TO
PUBLIC?",PRIVATE?,"AERIAL
LIFTS?","SURFACE
LIFTS
ONLY?","OPERATED
23/24?","ANTICIPATE
OPERATING 
24/25?","ANTICIPATE
OPERATING
25/26?","STARTING
PASS
PRICE 
2025-26","LAST PASS
PRICE 
2025-26","RENEWAL
PRICE OR
DISCOUNT
2025-26","NEXT
DEADLINE 
OS=on-sale","SKI REST
OF 24/25?","STARTING
PASS
PRICE 
2024-25","LAST 
PASS
PRICE
2024-25","RENEWAL
PRICE OR
DISCOUNT
2024-25","NEXT
DEADLINE 
OS=on-sale","STARTING
PASS
PRICE 
2023-24","FINAL
PASS
PRICE 
2023-24","SKI REST
OF 23/24?
","SKIED 
(Admin 
use
only)",FREE DAYS/NOTES
ALABAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloudmont,U.S. - Alabama,150,,,9,1,Yes,,Independent,,,,,,,,Yes,No,No,Yes,No,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Track status via Facebook page.
AL,,,,,9,,,,,,,,,,,,1,0,0,1,0,1,,,,,,,,,,,,,,0,
ALASKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyeska,U.S. - Alaska,"2,500",,,"1,610",650,,,Independent,,,,,,Ikon,Ikon 7 | Base 5 | Session B,Yes,No,Yes,No,Yes,Yes,,,,,,,"$1,049","$1,549",N/A,N/A,$999,"$1,499",N/A,No,Ikon add-on available.
Arctic Valley,U.S. - Alaska,"1,400",,,320,250,,,Independent,,600,Alpenglow at Arctic Valley,,,Indy,"""Indy+ 2, Base 2""",Yes,No,Yes,No,Yes,Yes,,,,,,,$449,$475,N/A,N/A,$420,$449,N/A,No,View reciprocal partners here.
Birch Hill,U.S. - Alaska,540,,,,N/A,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$499*,$499*,N/A,No,"*Civilian price, military pays by grade; Located at Fort Wainwright U.S. Army base"
